HUC_8,M3P_ppm,Soil Fertility Level
03140305,11.424443415211602,Very Low
03150101,1.3894549822218485,Very Low
03150103,36.97190463525061,Optimium
03150104,29.07182552191811,Medium
03150105,50.04372970937753,Excesive
03150106,108.14200370078592,Excesive
03150107,54.824617166668965,Excesive
03150109,295.7362077748439,Excesive
03150110,51.55937325550306,Excesive
03150201,3.781254450949658,Very Low
03150202,331.45723435981733,Excesive
03150203,133.73683386365562,Excesive
03150204,10.975438850125396,Very Low
03160101,64.20921071022265,Excesive
03160102,108.08085836133871,Excesive
03160103,2.913177506566204,Very Low
03160104,364.9360507327446,Excesive
03160105,29.922642451118488,Medium
03160106,40.10941953904853,Optimium
03160107,120.90183207821009,Excesive
03160108,14.618563958121548,Very Low
03160109,3.176665765636363,Very Low
03160110,21.649228374078284,Low
03160112,3.327299961246444,Very Low
03160113,41.48201746653701,Optimium
03160201,20.174660324347702,Low
03160202,0.44211541776083657,Very Low
03160203,1.3894549822218485,Very Low
03160204,0.6143678172291728,Very Low
03160205,5.2119871959032364,Very Low
03170002,145.41370967250862,Excesive
03170004,37.239862319126786,Optimium
03170005,4.79285042229716,Very Low
03170006,12.76484503521172,Very Low
03170007,14.617414696875446,Very Low
03170009,14.615527029447474,Very Low
03180001,93.30319257146208,Excesive
03180002,8.686878554905533,Very Low
03180003,14.279867674412653,Very Low
03180004,1.4717102693850481,Very Low
03180005,40.022353619167205,Optimium
04010101,53.07680086834649,Excesive
04010102,87.93223593605269,Excesive
04010201,161.239042218805,Excesive
04010202,206.2595138592108,Excesive
04010301,13.262077558423519,Very Low
04010302,27.864152644966484,Medium
04020101,78.56807161303374,Excesive
04020102,73.48653731863014,Excesive
04020104,6.040232105263712,Very Low
04020105,26.11542036879889,Medium
04020201,4.727545349913046,Very Low
04030101,120.90183207821009,Excesive
04030102,311.0657862956673,Excesive
04030104,76.53067134517279,Excesive
04030106,83.7786177169008,Excesive
04030107,24.776481576580466,Low
04030108,56.46709057372325,Excesive
04030110,3.5491030497934064,Very Low
04030111,73.05142783218655,Excesive
04030112,47.935253950312116,Optimium
04030201,67.53547136968153,Excesive
04030202,225.3347142642847,Excesive
04030203,147.95011665428981,Excesive
04050001,141.30245592368024,Excesive
04050002,13.851416389517475,Very Low
04050003,51.099686406463135,Excesive
04050004,81.23334167391502,Excesive
04050005,40.131506863883686,Optimium
04050006,241.11931915505104,Excesive
04050007,76.66071812812594,Excesive
04060101,1.3884063281562502,Very Low
04060102,69.27538395259342,Excesive
04060103,2.783124840034352,Very Low
04060104,0.20130165393754407,Very Low
04060105,1.551595276859411,Very Low
04060106,74.68216047630533,Excesive
04070002,8.403166866048458,Very Low
04070003,3.783253772244844,Very Low
04070004,196.31293138740762,Excesive
04070005,0.32170853584919035,Very Low
04070006,166.86830438988932,Excesive
04070007,2.162444839083326,Very Low
04080101,0.6143678172291728,Very Low
04080102,15.722464434000855,Very Low
04080103,50.348540485632206,Excesive
04080104,50.04372970937753,Excesive
04080201,13.976573671108413,Very Low
04080202,115.19057754153569,Excesive
04080204,137.2164122438854,Excesive
04090001,62.295128461226454,Excesive
04090003,74.2658636619033,Excesive
04090004,108.08085836133871,Excesive
04090005,101.04711692436459,Excesive
04100002,176.55304539964874,Excesive
04100003,6.040232105263712,Very Low
04100004,76.66071812812594,Excesive
04100005,224.51762737111244,Excesive
04100007,56.197124637342355,Excesive
04100008,387.4246802315001,Excesive
04100009,327.56920920381265,Excesive
04100010,332.5534677980076,Excesive
04100011,81.59363658120526,Excesive
04100012,191.327742194418,Excesive
04110001,148.43240509895074,Excesive
04110002,155.62795201312647,Excesive
04110003,129.7219545443493,Excesive
04120101,160.79940139254228,Excesive
04120102,199.02043963952903,Excesive
04120103,69.51921848737659,Excesive
04120104,424.5096172610795,Excesive
04130001,222.53872402107044,Excesive
04130002,354.12667987660365,Excesive
04140101,76.40301246241295,Excesive
04140102,186.61696571687062,Excesive
04140201,253.87178946619446,Excesive
04150101,176.91064469628188,Excesive
04150302,29.038974167680202,Medium
04150303,252.72231363695357,Excesive
04150305,2.6375597599241765,Very Low
05010001,167.38815750479444,Excesive
05010002,723.6771702368635,Excesive
05010003,52.56085076208636,Excesive
05010004,206.36562704385202,Excesive
05010005,79.01995349212477,Excesive
05010006,44.24503697486066,Optimium
05010007,137.40816710155153,Excesive
05010008,337.93998059204307,Excesive
05010009,99.82871471814751,Excesive
05020001,93.85105429712236,Excesive
05020003,134.20822960204856,Excesive
05020004,38.81143667421392,Optimium
05020005,237.09338706570682,Excesive
05020006,59.127624423079176,Excesive
05030101,444.6285497643268,Excesive
05030102,162.25539492499385,Excesive
05030103,284.37995460995614,Excesive
05030105,80.38187588737406,Excesive
05030106,216.5195902503092,Excesive
05030201,104.67027635594714,Excesive
05030202,9.012975282065256,Very Low
05030203,93.4069424162446,Excesive
05030204,198.98299317393642,Excesive
05040001,284.9029023968475,Excesive
05040003,177.91987051598124,Excesive
05040004,184.19880345187988,Excesive
05040005,44.24503697486066,Optimium
05040006,22.773526563413874,Low
05050001,314.14130753467987,Excesive
05050002,52.48502102438846,Excesive
05050003,114.70037841296413,Excesive
05050004,24.776481576580466,Low
05050005,46.47093589994474,Optimium
05050006,31.36383233544305,Medium
05050008,67.07338167799986,Excesive
05050009,300.3646320021785,Excesive
05060001,273.2560152656548,Excesive
05060002,159.13900293008376,Excesive
05060003,269.0165866117733,Excesive
05070101,62.69332741272893,Excesive
05070102,59.162769079969365,Excesive
05070202,183.7539667139373,Excesive
05070203,66.42892138273415,Excesive
05080001,225.84805676391915,Excesive
05080002,125.28587139767694,Excesive
05080003,526.3757605123209,Excesive
05090101,56.44659932695776,Excesive
05090104,47.099357582938346,Optimium
05090201,1877.5286848638848,Excesive
05090202,222.99379554898303,Excesive
05090203,36.23431114785739,Optimium
05100101,320.35498162464825,Excesive
05100102,864.246392748487,Excesive
05100201,206.36562704385202,Excesive
05100202,201.3259940182196,Excesive
05100203,6.9481410846701435,Very Low
05100204,10.174390484819675,Very Low
05100205,920.9131194152072,Excesive
05110001,143.14415686735433,Excesive
05110002,230.46650000480244,Excesive
05110003,29.07182552191811,Medium
05110004,129.7219545443493,Excesive
05110006,142.5431297514706,Excesive
05120101,348.86611591773993,Excesive
05120102,59.40316948447614,Excesive
05120103,246.50896220306342,Excesive
05120104,59.40316948447614,Excesive
05120106,154.76316530825918,Excesive
05120108,208.63965299805432,Excesive
05120109,164.24762574651038,Excesive
05120110,316.42789158157836,Excesive
05120111,559.8896815287868,Excesive
05120112,228.22089420383668,Excesive
05120113,160.52484836938362,Excesive
05120114,217.0250897221405,Excesive
05120115,17.342034619277054,Low
05120201,361.6878155569629,Excesive
05120202,121.21258972890915,Excesive
05120203,134.55815139638835,Excesive
05120204,796.6920427399701,Excesive
05120205,284.40148357157136,Excesive
05120206,142.49815030515742,Excesive
05120208,133.745106160785,Excesive
05120209,120.90183207821009,Excesive
05130101,128.1732582866195,Excesive
05130102,116.73556349883332,Excesive
05130103,207.9643219631608,Excesive
05130104,114.4043855092503,Excesive
05130105,84.13872794182248,Excesive
05130106,930.5182494752906,Excesive
05130107,76.66071812812594,Excesive
05130108,678.8185914466502,Excesive
05130201,1157.023431706866,Excesive
05130202,466.9609949173787,Excesive
05130203,156.7311987623571,Excesive
05130204,277.12793706274783,Excesive
05130205,186.8795568541981,Excesive
05130206,59.40316948447614,Excesive
05140101,69.51921848737659,Excesive
05140102,303.75218700757284,Excesive
05140103,584.3207200070738,Excesive
05140104,249.57723184073268,Excesive
05140201,489.43132064242104,Excesive
05140202,80.34521994759227,Excesive
05140203,157.21109710330109,Excesive
05140204,129.80463490612854,Excesive
05140205,216.62274688009398,Excesive
06010101,273.77615529503134,Excesive
06010102,247.4957748255497,Excesive
06010103,263.2214374579675,Excesive
06010104,183.94039379703327,Excesive
06010105,305.711165894878,Excesive
06010106,252.79282649714781,Excesive
06010108,191.327742194418,Excesive
06010201,108.08085836133871,Excesive
06010202,407.0476974854969,Excesive
06010205,29.07182552191811,Medium
06010206,273.77615529503134,Excesive
06010208,233.61646819603402,Excesive
06020001,15.668297877979722,Very Low
06020002,326.0143352672332,Excesive
06030001,215.1595908243422,Excesive
06030002,41.50268515579965,Optimium
06030003,573.6136250524828,Excesive
06030004,44.24503697486066,Optimium
06030005,7.0511659989171065,Very Low
06030006,1.1081691724799985,Very Low
06040001,35.951177529566344,0
06040002,196.31293138740762,Excesive
06040003,169.49549834365655,Excesive
06040005,187.1253693512493,Excesive
06040006,156.39784525803674,Excesive
07010101,19.820397225754267,Low
07010102,59.553071416706075,Excesive
07010103,105.30365038288488,Excesive
07010104,94.51760756002048,Excesive
07010105,33.94163109806601,Medium
07010106,24.776481576580466,Low
07010107,63.924986581440116,Excesive
07010108,53.07680086834649,Excesive
07010201,17.342034619277054,Low
07010203,20.86700840215473,Low
07010204,29.221064159517677,Medium
07010205,73.05142783218655,Excesive
07010206,34.992919217414425,Medium
07010207,167.491162470575,Excesive
07020001,134.30498012251195,Excesive
07020002,221.6750334285511,Excesive
07020003,101.93894509107241,Excesive
07020004,74.2658636619033,Excesive
07020005,308.1904658022972,Excesive
07020006,84.1030336466222,Excesive
07020007,95.79703182080613,Excesive
07020008,87.93223593605269,Excesive
07020009,175.56018606157502,Excesive
07020010,76.66071812812594,Excesive
07020011,99.82871471814751,Excesive
07020012,198.2527856538364,Excesive
07030001,14.977779265051836,Very Low
07030002,6.040232105263712,Very Low
07030003,51.02166777305876,Excesive
07030004,64.70712670129485,Excesive
07030005,140.59327623873938,Excesive
07040001,69.51921848737659,Excesive
07040002,93.64251523519752,Excesive
07040003,38.81143667421392,Optimium
07040004,152.61922727258474,Excesive
07040005,343.33132648151246,Excesive
07040006,191.327742194418,Excesive
07040007,61.14564353021597,Excesive
07040008,110.18913726864395,Excesive
07050002,14.406879334338793,Very Low
07050003,166.86830438988932,Excesive
07050004,511.0045095881064,Excesive
07050005,166.01365189629632,Excesive
07050006,359.5298184201236,Excesive
07050007,48.590459508115714,Optimium
07060001,119.62178089325222,Excesive
07060002,129.7219545443493,Excesive
07060003,201.3259940182196,Excesive
07060004,98.2004448578467,Excesive
07060005,537.9045719624946,Excesive
07060006,886.3466211671257,Excesive
07070001,36.92704092215863,Optimium
07070002,104.6950056154698,Excesive
07070003,156.36293667093736,Excesive
07070004,157.32972725088482,Excesive
07070005,67.22558513401981,Excesive
07080101,99.82871471814751,Excesive
07080102,604.8131142692563,Excesive
07080104,63.683660815686274,Excesive
07080105,135.36546820809116,Excesive
07080106,386.5844216134898,Excesive
07080107,387.41425253904816,Excesive
07080201,240.11918720816,Excesive
07080202,188.10542035237825,Excesive
07080203,116.5717137769685,Excesive
07080205,324.57674586235765,Excesive
07080206,229.5164913154197,Excesive
07080207,338.32372219294257,Excesive
07080208,169.53130014870743,Excesive
07080209,357.0022726881049,Excesive
07090001,190.3082992636336,Excesive
07090002,91.8308860948003,Excesive
07090003,188.8158296283494,Excesive
07090005,268.59706695538915,Excesive
07090006,84.1030336466222,Excesive
07090007,293.8483091852552,Excesive
07100001,66.06592238359268,Excesive
07100002,211.4305671151337,Excesive
07100003,268.6121346909644,Excesive
07100006,292.48855472892683,Excesive
07100007,676.3530115764818,Excesive
07100008,104.73311000206759,Excesive
07100009,88.90121197211347,Excesive
07110001,212.95299935805082,Excesive
07110002,157.32972725088482,Excesive
07110003,14.197091344174702,Very Low
07110004,120.90183207821009,Excesive
07110005,29.412026042907033,Medium
07110006,175.20418085577805,Excesive
07110008,70.17815907253802,Excesive
07110009,152.61922727258474,Excesive
07120001,141.9852182182555,Excesive
07120002,117.25337991984148,Excesive
07120003,226.7651841214656,Excesive
07120004,23.82937728153449,Low
07120005,169.34563327910416,Excesive
07120006,88.07112588419918,Excesive
07120007,419.0913984607441,Excesive
07130001,152.44389237537436,Excesive
07130003,247.4957748255497,Excesive
07130004,237.09338706570682,Excesive
07130005,121.59555236724823,Excesive
07130007,400.2299892673056,Excesive
07130009,374.1429062065551,Excesive
07130010,99.85929242776156,Excesive
07130011,180.33309577419033,Excesive
07140101,618.0891886079422,Excesive
07140102,57.50102420176554,Excesive
07140103,14.197091344174702,Very Low
07140104,46.555032491401995,Optimium
07140105,73.8923675935048,Excesive
07140106,51.06162667705232,Excesive
07140107,56.03181417598216,Excesive
07140201,128.92410092234542,Excesive
07140202,462.4107469728334,Excesive
07140203,186.3717694147283,Excesive
07140204,629.8990428574252,Excesive
08010100,91.8308860948003,Excesive
08010202,359.5298184201236,Excesive
08010203,187.68601589785192,Excesive
08010205,129.9479013121577,Excesive
08010207,41.48201746653701,Optimium
08010209,267.38036113296863,Excesive
08010210,87.93223593605269,Excesive
08020201,60.67488921061331,Excesive
08020203,86.25677543059406,Excesive
08020204,78.53993680612369,Excesive
08020205,236.5002029417252,Excesive
08020301,182.27530795222918,Excesive
08020302,30.643485109657345,Medium
08020303,41.5365370268196,Optimium
08020304,108.08085836133871,Excesive
08020401,191.85573547007,Excesive
08030100,129.7219545443493,Excesive
08030201,123.56165472003887,Excesive
08030203,24.492913579516802,Low
08030204,22.821744989367595,Low
08030205,97.8128732694768,Excesive
08030206,34.550196641726394,Medium
08030207,93.14641785074592,Excesive
08030209,141.29275631695094,Excesive
08040101,33.50928176913727,Medium
08040102,11.166346865014255,Very Low
08040103,109.418372738992,Excesive
08040201,147.34845653129915,Excesive
08040202,37.80443465515185,Optimium
08040203,9.052919954534877,Very Low
08040204,13.707020668252321,Very Low
08040205,5.2119871959032364,Very Low
08040206,119.46203304944672,Excesive
08040301,69.36218026565776,Excesive
08040302,7.938271964571563,Very Low
08040303,1.181020678747874,Very Low
08040304,0.3058607788459197,Very Low
08040306,171.69318050076387,Excesive
08050001,116.48117081374477,Excesive
08050002,232.41150064350862,Excesive
08050003,89.32066079271698,Excesive
08060201,6.425229325451312,Very Low
08060202,109.6038017192321,Excesive
08060203,120.90183207821009,Excesive
08060204,84.1030336466222,Excesive
08060205,7.938271964571563,Very Low
08070202,7.938271964571563,Very Low
08070204,223.01041947669086,Excesive
08070300,81.66357245297758,Excesive
08080101,156.15831103555766,Excesive
08080102,155.75956059145145,Excesive
08080201,38.81143667421392,Optimium
08080202,88.40286805119196,Excesive
08080203,78.53134377493545,Excesive
08080205,5.2119871959032364,Very Low
08080206,63.4710320917369,Excesive
08090100,231.91949974196842,Excesive
08090203,113.01955784842444,Excesive
08090301,196.740310911704,Excesive
08090302,113.28648983940815,Excesive
09010001,52.70019784561733,Excesive
09010002,56.197124637342355,Excesive
09010003,324.4077365808817,Excesive
09010004,52.39399589280165,Excesive
09010005,31.79395912539719,Medium
09020101,279.0723073899841,Excesive
09020102,87.93223593605269,Excesive
09020103,55.93143225320023,Excesive
09020104,36.23431114785739,Optimium
09020105,62.377033117187004,Excesive
09020106,192.312547542024,Excesive
09020107,76.66071812812594,Excesive
09020108,17.342034619277054,Low
09020109,75.78415091133483,Excesive
09020201,104.910061868315,Excesive
09020202,95.79703182080613,Excesive
09020203,51.70685039555912,Excesive
09020204,15.722464434000855,Very Low
09020205,174.22586446247718,Excesive
09020301,44.24503697486066,Optimium
09020302,127.25739801566635,Excesive
09020303,119.37033881917601,Excesive
09020304,82.13899149934052,Excesive
09020305,58.4824760681404,Excesive
09020307,89.63252059484871,Excesive
09020308,201.3259940182196,Excesive
09020309,63.352223918751726,Excesive
09020310,66.06592238359268,Excesive
09020311,260.67207109170704,Excesive
09020312,242.28581158430703,Excesive
09020313,214.93888164662258,Excesive
09020314,63.35233206722216,Excesive
09030001,179.91356302072197,Excesive
09030002,263.2214374579675,Excesive
09030003,108.18775833976672,Excesive
09030004,191.327742194418,Excesive
09030005,87.93223593605269,Excesive
09030006,28.417921815671118,Medium
09030007,20.86700840215473,Low
10010002,681.6265648605837,Excesive
10020001,283.8250923464425,Excesive
10020002,225.09637943410203,Excesive
10020003,321.7969049319065,Excesive
10020004,366.39759823453767,Excesive
10020005,90.11244494496368,Excesive
10020007,136.90197329681564,Excesive
10020008,432.6072126762802,Excesive
10030101,208.42442640817632,Excesive
10030102,124.93193201283688,Excesive
10030104,191.25528892871608,Excesive
10030105,257.92810919983253,Excesive
10030201,129.7219545443493,Excesive
10030203,151.48822097107774,Excesive
10030205,139.92112412674442,Excesive
10040101,121.76451125900765,Excesive
10040102,73.05142783218655,Excesive
10040103,93.12096662761715,Excesive
10040104,158.51698201758884,Excesive
10040105,143.3464945388401,Excesive
10040106,141.4908957942181,Excesive
10040201,126.88855113008526,Excesive
10040202,100.89996464234112,Excesive
10040203,87.93223593605269,Excesive
10040204,345.06520445610215,Excesive
10040205,119.0661025117638,Excesive
10050002,564.7227437990177,Excesive
10050004,94.00572357597264,Excesive
10050005,50.04372970937753,Excesive
10050006,78.57723073940437,Excesive
10050008,49.29552200464735,Optimium
10050010,176.55304539964874,Excesive
10050011,59.40316948447614,Excesive
10050014,50.04372970937753,Excesive
10050016,114.26550022658013,Excesive
10060001,164.51145387582434,Excesive
10060002,115.89417790969921,Excesive
10060003,97.31975009253031,Excesive
10060004,103.92397542147906,Excesive
10060005,26.875949416296805,Medium
10060006,54.12648034349803,Excesive
10070001,300.79802326687667,Excesive
10070002,321.95019589070955,Excesive
10070003,360.0216968941121,Excesive
10070005,150.32690804911587,Excesive
10070006,279.0701656579231,Excesive
10070007,132.0143719105337,Excesive
10080001,337.78217214889736,Excesive
10080002,276.14761836572035,Excesive
10080003,157.77974711450244,Excesive
10080004,273.77615529503134,Excesive
10080005,45.882576467323524,Optimium
10080007,151.45445333723987,Excesive
10080008,195.01125690272926,Excesive
10080009,139.70852743801925,Excesive
10080010,206.36562704385202,Excesive
10080011,273.77615529503134,Excesive
10080012,73.05142783218655,Excesive
10080014,224.41088442188462,Excesive
10080015,333.0224947628158,Excesive
10080016,157.32972725088482,Excesive
10090101,145.57822845628272,Excesive
10090102,208.5567644729564,Excesive
10090201,50.04372970937753,Excesive
10090202,207.36859383807518,Excesive
10090203,125.28587139767694,Excesive
10090205,69.51921848737659,Excesive
10090206,144.75750289842208,Excesive
10090207,99.82871471814751,Excesive
10090208,73.65472670751755,Excesive
10090209,137.0848843463563,Excesive
10090210,117.5387606525955,Excesive
10100001,177.5475867954372,Excesive
10100002,90.74149801750968,Excesive
10100003,69.51921848737659,Excesive
10100004,114.75106251793736,Excesive
10100005,99.82871471814751,Excesive
10110101,84.22657369831545,Excesive
10110102,69.51921848737659,Excesive
10110201,60.735282753465654,Excesive
10110203,82.44115696349343,Excesive
10110204,161.31551576594964,Excesive
10110205,95.21733439923443,Excesive
10120101,67.50500647692458,Excesive
10120103,69.51921848737659,Excesive
10120104,76.66071812812594,Excesive
10120105,14.197091344174702,Very Low
10120106,408.2542731034677,Excesive
10120107,106.14558941143112,Excesive
10120108,50.04372970937753,Excesive
10120109,91.96587418238484,Excesive
10120110,186.3717694147283,Excesive
10120111,84.1030336466222,Excesive
10120112,189.61087142374905,Excesive
10120113,34.17898344141691,Medium
10120201,80.06055002941069,Excesive
10120202,91.32516515435962,Excesive
10120203,29.07182552191811,Medium
10130101,81.59679413757166,Excesive
10130102,97.4053072221975,Excesive
10130103,93.28312434313068,Excesive
10130104,121.4501817164686,Excesive
10130105,218.0587377125601,Excesive
10130106,109.44840159559372,Excesive
10130201,123.46562288472788,Excesive
10130202,137.9661186089212,Excesive
10130203,59.40316948447614,Excesive
10130204,100.11482605600094,Excesive
10130205,72.14038100575107,Excesive
10130206,76.66071812812594,Excesive
10130301,219.73484485472855,Excesive
10130302,95.21052528279336,Excesive
10130303,117.64429971079274,Excesive
10130304,103.9547865397431,Excesive
10130305,29.50391885563563,Medium
10130306,142.85180745362575,Excesive
10140101,182.00068951464598,Excesive
10140102,69.51921848737659,Excesive
10140103,114.4913452197744,Excesive
10140104,424.5093488652053,Excesive
10140201,54.42343134227178,Excesive
10140202,146.32047375147786,Excesive
10140204,50.04372970937753,Excesive
10150001,231.91949974196842,Excesive
10150002,12.76484503521172,Very Low
10150003,40.05225446024613,Optimium
10150004,216.1425315562864,Excesive
10150006,17.407110690434187,Low
10150007,50.606114174873504,Excesive
10160001,132.45832172426694,Excesive
10160002,66.49657051607294,Excesive
10160003,129.64467218053724,Excesive
10160004,84.42422982649633,Excesive
10160005,59.40316948447614,Excesive
10160006,93.29953059803744,Excesive
10160007,76.66071812812594,Excesive
10160008,84.1030336466222,Excesive
10160009,28.495935397023832,Medium
10160010,152.61922727258474,Excesive
