,HUC_8,site_id,latitude,longitude,rec_id,horizon,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm,al_pct_q,al_pct,as_ppm,ba_ppm_q,ba_ppm,be_ppm,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,ca_pct,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,fe_pct,ga_ppm_q,ga_ppm,hg_ppm,in_ppm,k_pct,la_ppm,li_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,rb_ppm,s_pct,sb_ppm,sc_ppm,se_ppm,sn_ppm,sr_ppm,te_ppm,th_ppm,ti_pct_q,ti_pct,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm_q,y_ppm,zn_ppm,Unnamed: 125,M3P_ppm,Soil Fertility Level
806,10140204,3723.0,43.6022,-100.4974,3655.0,0.0,57.9,11.3,13.4,24.7,0.0,6.4,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,4.29,5.8,0.0,724.0,1.0,0.12,1.33,0.0,0.0,0.0,1.33,0.56,0.3,46.7,5.1,18.0,0.0,9.9,1.5,0.0,9.55,0.01,0.02,1.55,25.5,11.0,0.26,387.0,0.78,0.89,5.6,9.2,440.0,16.5,65.8,0.03,0.61,4.3,0.4,0.7,149.0,0.0,7.1,0.0,0.14,0.4,1.8,42.0,0.6,0.0,13.5,41.0,0.0,50.04372970937753,Excesive
807,10150001,1480.0,42.9886,-98.9557,2566.0,0.0,27.2,7.1,4.5,11.6,13.7,11.5,1.6,26.8,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,7.11,11.3,0.0,668.0,1.8,0.38,3.11,0.0,0.1,0.0,3.0,1.51,0.3,58.8,20.5,51.0,7.0,27.5,3.32,0.0,18.2,0.05,0.06,2.23,29.3,47.0,0.99,6820.0,1.13,0.48,9.0,40.4,860.0,22.9,114.0,0.05,1.26,12.5,0.8,1.8,119.0,0.0,10.4,0.0,0.28,0.6,2.2,163.0,1.3,0.0,18.1,111.0,0.0,231.91949974196842,Excesive
808,10150002,6859.0,42.5871,-104.1953,4778.0,0.0,48.2,11.8,27.0,38.8,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,5.07,2.5,0.0,796.0,1.4,0.13,0.93,0.0,0.0,0.0,0.93,1.35,0.0,51.1,4.2,17.0,0.0,5.9,1.46,0.0,12.2,0.01,0.02,1.93,29.3,13.0,0.35,271.0,0.63,1.37,7.3,4.5,270.0,16.2,84.2,0.02,0.31,4.4,0.0,0.9,360.0,0.0,6.9,0.0,0.16,0.5,1.6,46.0,0.4,0.0,11.8,36.0,0.0,12.76484503521172,Very Low
809,10150003,3599.166666666666,42.585366666666665,-102.28973333333332,2359.6666666666665,0.0,54.48333333333333,8.233333333333333,17.666666666666668,25.883333333333336,0.0,6.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,4.63,3.25,0.0,664.5,1.3333333333333333,0.136,0.9483333333333336,0.0,0.0,0.0,0.9483333333333336,0.9216666666666667,0.175,51.53333333333333,5.1,13.833333333333336,0.0,8.383333333333333,1.2183333333333335,0.0,11.915,0.016666666666666666,0.03,1.7216666666666665,30.78333333333333,15.833333333333336,0.2866666666666667,299.8333333333333,0.59,1.0266666666666666,7.883333333333333,7.099999999999999,350.0,15.483333333333334,71.85,0.01833333333333333,0.4533333333333334,4.216666666666667,0.4,0.9333333333333336,245.4,0.0,7.5,0.0,0.17333333333333334,0.4166666666666667,1.7499999999999998,34.5,0.7166666666666667,0.0,13.4,34.833333333333336,0.0,40.05225446024613,Optimium
810,10150004,5392.333333333333,42.789916666666656,-100.94603333333332,2783.0,0.0,47.65,7.550000000000002,19.416666666666668,26.96666666666667,0.0,4.7799999999999985,0.0,4.7799999999999985,0.0,5.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.55,0.0,0.0,4.138333333333334,3.1,0.0,764.8333333333335,1.1666666666666667,0.098,2.53,0.0,0.6,0.0,2.325,1.96,0.14,39.433333333333344,2.783333333333333,8.0,0.0,5.8,0.9116666666666668,0.0,10.005,0.02666666666666667,0.02,1.4733333333333336,27.08333333333333,11.666666666666664,0.205,261.1666666666667,0.405,1.05,5.7333333333333325,4.75,693.3333333333335,13.016666666666666,60.11666666666667,0.03333333333333333,0.3383333333333334,2.5,0.7,0.6999999999999998,291.1666666666667,0.0,5.7,0.0,0.09333333333333334,0.3333333333333333,1.6166666666666665,22.33333333333333,0.5166666666666666,0.0,11.9,24.83333333333333,0.0,216.1425315562864,Excesive
811,10150006,1705.5,42.9862,-100.0925,3103.5,0.0,47.65,7.95,17.15,25.1,0.0,7.1,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.15,0.0,0.0,4.6850000000000005,2.0,0.0,733.0,1.15,0.135,1.325,0.0,0.0,0.0,1.325,1.01,0.1,47.35,3.6,14.0,0.0,7.6,1.095,0.0,10.2,0.01,0.02,1.765,29.0,16.5,0.335,224.5,0.415,1.08,7.5,6.75,290.0,14.45,68.25,0.025,0.39,3.7,0.0,1.05,240.5,0.0,7.65,0.0,0.14,0.45,1.9,30.5,0.65,0.0,14.0,33.5,0.0,17.407110690434187,Low
812,10150007,5648.0,42.6405,-98.48405,2607.5,0.0,52.85,8.1,10.8,18.9,4.1,7.550000000000002,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65,0.0,0.0,5.119999999999999,5.55,0.0,794.5,1.2,0.18,1.34,0.0,0.0,0.0,1.34,0.74,0.4,52.85,9.0,22.5,0.0,15.0,1.62,0.0,11.19,0.025,0.04,2.0,29.3,19.5,0.4,1701.5,0.93,0.9,5.7,23.25,425.0,20.4,86.44999999999997,0.03,0.785,5.6,0.6,0.95,181.5,0.0,7.8,0.0,0.16999999999999998,0.45,1.65,72.5,0.65,0.0,13.45,57.5,0.0,50.606114174873504,Excesive
813,10160001,3914.5,47.5641,-99.80775,3122.5,0.0,41.35,4.4,9.5,13.9,1.0,11.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,0.0,0.0,3.57,5.449999999999998,0.0,537.5,0.95,0.12,12.32,0.0,0.0,0.0,12.32,1.205,0.4,51.8,12.55,33.0,0.0,14.1,1.52,0.0,10.035,0.055,0.03,1.12,25.65,16.0,0.435,1144.5,0.625,0.58,7.550000000000002,17.4,655.0,16.0,51.35,0.065,0.5700000000000001,4.9,0.3,0.95,135.5,0.0,6.25,0.0,0.215,0.4,1.6,49.0,0.7,0.0,15.0,55.0,0.0,132.45832172426694,Excesive
814,10160002,3838.5,47.17699999999999,-99.1283,2822.5,0.0,55.725,4.7,11.575,16.275,1.5666666666666669,7.7333333333333325,0.9,9.566666666666666,0.0,4.7,2.6,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.950000000000006,0.0,0.0,4.07,6.825000000000001,0.0,516.5,0.875,0.1125,2.145,0.0,0.9,0.0,1.91,1.4925000000000002,0.2333333333333333,35.15000000000001,7.1,27.5,0.0,17.475,1.6725,0.0,9.2675,0.036666666666666674,0.02666666666666667,1.1775,19.15,17.25,0.54,530.5,0.5750000000000001,0.7200000000000001,6.199999999999998,16.175,422.5,10.975,50.575,0.04,0.5075000000000001,4.825,0.4666666666666666,1.3,133.725,0.0,5.375,0.0,0.185,0.325,1.3,54.5,0.6500000000000001,0.0,11.275,46.0,0.0,66.49657051607294,Excesive
815,10160003,4169.625,46.4408375,-98.51276249999998,2446.625,0.0,45.15,6.525,15.8,22.3125,2.65,7.899999999999999,1.2,9.375,0.0,0.7000000000000001,5.85,0.0,3.475,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,21.1375,0.0,0.0,4.90125,6.125,0.0,624.625,1.3,0.15750000000000006,2.62875,0.0,0.45,0.0,2.40375,1.40625,0.4874999999999999,52.3,10.05,34.5,7.0,19.825,2.0175,0.0,12.0725,0.038750000000000014,0.04857142857142858,1.7425,26.15,21.375,0.7125000000000001,828.125,0.7325,1.00875,9.6375,17.975,635.0,53.46249999999999,67.71249999999999,0.04142857142857143,0.675,6.237500000000002,0.4428571428571429,1.1125,180.25,0.0,8.3875,0.0,0.22625,0.4874999999999999,1.9625,64.125,0.9375,0.0,15.7375,66.75,0.0,129.64467218053724,Excesive
